Sample,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,Total
Sample 1,51.66,0.53,12.56,8.82,0.18,12.04,12.14,1.77,0.30,100.0
Sample 2,52.07,0.53,12.51,8.60,0.17,11.70,12.36,1.74,0.31,100.0
Sample 3,52.04,0.56,13.38,8.69,0.17,11.28,11.67,1.87,0.33,100.0
Sample 4,54.10,0.59,15.05,7.91,0.17,8.28,11.18,2.35,0.37,100.0
Sample 5,54.32,0.59,15.41,7.81,0.17,8.09,10.80,2.43,0.38,100.0
Sample 6,52.89,0.60,16.30,8.20,0.16,7.97,11.27,2.25,0.36,100.0
Sample 7,56.45,0.69,17.41,6.94,0.14,5.53,8.86,3.31,0.67,100.0
Sample 8,58.79,0.64,16.45,6.40,0.13,5.18,8.39,3.37,0.67,100.0
Sample 9,58.57,0.61,17.27,6.14,0.14,4.69,8.24,3.57,0.79,100.0
Sample 10,59.75,0.59,17.30,5.79,0.13,4.32,7.66,3.56,0.90,100.0
Sample 11,58.90,0.66,17.34,6.13,0.13,4.31,8.20,3.50,0.84,100.0
Sample 12,60.32,0.54,17.82,5.22,0.11,3.74,7.55,3.78,0.89,100.0
Sample 13,60.82,0.60,17.44,5.77,0.13,3.50,7.19,3.71,0.84,100.0
Sample 14,61.87,0.55,17.33,5.99,0.12,3.35,6.49,0.87,3.41,100.0
Sample 15,63.46,0.56,16.55,5.20,0.12,3.05,6.26,3.82,0.99,100.0
Sample 16,62.68,0.54,17.02,5.54,0.13,2.97,6.46,3.78,0.87,100.0
Sample 17,63.27,0.51,17.06,5.10,0.13,2.88,6.39,3.74,0.91,100.0
Sample 18,75.68,0.40,13.09,2.05,0.00,0.53,2.38,3.97,1.89,100.0
Sample 19,75.73,0.39,13.04,2.08,0.00,0.49,2.29,3.97,2.01,100.0
Sample 20,75.98,0.34,12.97,2.05,0.00,0.43,2.15,4.13,1.95,100.0
Sample 21,75.17,0.33,13.52,1.73,0.00,0.41,1.78,4.19,2.86,100.0
Sample 22,52.79,0.66,16.96,10.09,0.16,7.42,9.99,1.53,0.40,100.0
Sample 23,51.71,0.95,16.65,9.92,0.16,7.06,11.04,2.10,0.41,100.0
Sample 24,53.12,0.88,17.24,9.00,0.21,6.84,10.49,1.83,0.39,100.0
Sample 25,56.39,0.82,17.27,9.45,0.17,6.64,9.01,0.00,0.24,100.0
Sample 26,54.01,0.64,16.95,9.23,0.16,6.57,9.56,2.35,0.53,100.0
Sample 27,52.55,0.76,17.31,9.12,0.14,6.45,10.94,2.14,0.57,100.0
Sample 28,55.98,0.75,17.50,9.12,0.13,6.28,9.06,1.04,0.13,100.0
Sample 29,52.98,0.96,17.73,9.14,0.16,6.03,10.14,2.36,0.49,100.0
Sample 30,52.78,0.87,18.35,7.98,0.15,5.94,10.98,2.27,0.68,100.0
Sample 31,54.90,0.77,17.51,8.09,0.13,5.72,10.08,2.33,0.48,100.0
Sample 32,53.74,0.90,18.36,7.03,0.11,5.46,11.29,2.40,0.71,100.0
Sample 33,53.70,0.63,19.29,6.54,0.11,5.23,11.85,2.24,0.41,100.0
Sample 34,56.57,0.82,19.19,5.96,0.17,4.11,10.41,2.23,0.54,100.0
Sample 35,59.46,0.61,19.33,5.08,0.09,3.55,8.57,2.65,0.66,100.0
