Sample,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,Total
Sample 1,56.29,2.17,16.21,9.54,0.00,3.24,6.70,4.82,1.02,100.0
Sample 2,56.50,2.15,16.42,9.45,0.00,3.08,6.51,4.89,1.00,100.0
Sample 3,57.58,2.07,16.11,9.22,0.00,2.95,6.37,4.59,1.11,100.0
Sample 4,58.00,1.88,16.51,8.76,0.00,2.71,5.92,5.04,1.18,100.0
Sample 5,58.99,1.80,16.09,8.47,0.00,2.61,5.92,4.83,1.29,100.0
Sample 6,60.36,1.38,15.94,7.90,0.16,2.43,5.31,5.16,1.34,100.0
Sample 7,60.93,1.57,16.18,7.01,0.00,2.36,4.94,5.64,1.37,100.0
Sample 8,62.29,1.14,16.41,6.90,0.00,1.71,4.59,5.35,1.60,100.0
Sample 9,63.59,1.26,16.00,5.94,0.00,1.79,3.98,5.86,1.58,100.0
Sample 10,63.47,1.01,16.15,6.58,0.21,1.27,3.55,5.99,1.77,100.0
Sample 11,65.54,1.01,15.83,5.02,0.16,1.33,3.08,6.22,1.81,100.0
Sample 12,66.48,0.93,15.76,4.63,0.00,1.23,2.75,6.35,1.87,100.0
Sample 13,66.75,0.87,15.78,4.68,0.00,1.03,2.59,6.43,1.87,100.0
Sample 14,67.25,0.84,15.79,4.39,0.00,1.02,2.46,6.30,1.94,100.0
Sample 15,68.66,0.57,15.28,4.66,0.00,0.64,2.15,5.56,2.49,100.0
Sample 16,69.48,0.53,15.39,3.54,0.00,0.58,1.94,5.39,3.14,100.0
Sample 17,70.35,0.39,15.14,4.06,0.00,0.27,1.54,5.19,3.06,100.0
Sample 18,70.61,0.50,14.69,3.49,0.11,0.75,2.05,4.42,3.38,100.0
Sample 19,71.21,0.37,14.81,3.06,0.00,0.37,1.67,5.41,3.11,100.0
Sample 20,72.27,0.37,14.28,3.01,0.00,0.32,1.33,5.02,3.40,100.0
Sample 21,73.57,0.25,14.12,1.99,0.00,0.26,1.02,4.58,4.20,100.0
