Sample,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,Total
Sample 1,48.50,1.71,15.31,11.20,0.18,8.78,11.82,2.31,0.21,100.0
Sample 2,49.93,2.61,13.24,14.81,0.24,5.38,10.51,3.02,0.27,100.0
Sample 3,50.24,2.79,13.00,15.11,0.24,5.18,10.04,2.93,0.47,100.0
Sample 4,50.08,3.10,13.19,15.53,0.26,4.92,9.50,3.01,0.42,100.0
Sample 5,50.62,3.14,12.64,15.24,0.26,5.04,9.53,3.01,0.52,100.0
Sample 6,50.70,3.97,13.40,14.47,0.33,4.48,8.74,3.26,0.66,100.0
Sample 7,51.06,3.42,12.70,15.26,0.31,4.49,8.80,3.15,0.82,100.0
Sample 8,55.22,2.70,12.90,13.07,0.23,3.68,7.50,3.49,1.19,100.0
Sample 9,57.29,2.46,13.91,11.36,0.26,2.98,6.63,3.78,1.32,100.0
Sample 10,54.07,3.21,13.17,13.48,0.29,3.45,7.63,3.62,1.09,100.0
Sample 11,62.17,1.28,15.46,8.01,0.19,1.78,5.07,4.40,1.63,100.0
Sample 12,67.26,0.74,15.03,6.00,0.13,0.69,3.67,4.25,2.23,100.0
Sample 13,61.37,1.16,14.16,10.25,0.29,1.11,4.93,4.67,2.07,100.0
Sample 14,63.93,0.85,14.59,8.17,0.19,0.72,4.02,4.75,2.77,100.0
Sample 15,72.74,0.35,13.44,3.16,0.08,0.22,1.77,5.00,3.23,100.0
Sample 16,75.58,0.22,12.20,2.61,0.09,0.26,1.31,4.79,2.94,100.0
Sample 17,76.18,0.38,12.76,1.84,0.02,0.02,1.05,4.84,2.91,100.0
Sample 18,75.70,0.23,12.67,2.28,0.04,0.02,0.91,4.45,3.69,100.0
Sample 19,74.89,0.25,12.93,2.08,0.05,0.02,0.96,5.19,3.63,100.0
Sample 20,76.12,0.19,12.09,1.93,0.06,0.12,0.97,4.73,3.79,100.0
Sample 21,75.38,0.23,12.61,1.83,0.05,0.09,1.04,5.11,3.65,100.0
